"","Module title","ID","Composite name","Module size...4","Module category","Annotation level","Web link","Top matched pathway in KEGG, PID and BIOCARTA","Jaccard Index...10","Enrichment p value...11","Pathway size","Overlap size...13","Top matched Chaussabel module","Jaccard Index...15","Enrichment p value...16","Module size...17","Overlap size...18","Top matched Transcription Factor","Jaccard Index...20","Enrichment p value...21","Gene set size","Overlap size...23","Top matched Gene Ontology terms (number of matched genes)","btm","group","subgroup","SetSize","Genes"
"111","immune activation - generic cluster","M37.0","immune activation - generic cluster (M37.0)",347,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M37.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (183), plasma membrane (99), integral to membrane (99)","M37.0","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",347,"ELANE, SAMD13, CAMK4, GPR109B, BANK1, DYSF, MACROD2, MS4A4A, PRRG4, ORM1, C19orf59, ERI2, LAT, PPIL4, CSRP2, MAL, CD1B, RASGRP4, MGST1, PRG2, VPREB1, VPREB3, ENG, GRAP2, NCAPD2, NCAPD3, BLM, TCN1, SLC22A4, ANPEP, SIRPB1, CD19, RETN, MBOAT2, CLEC5A, PLA2G7, CIITA, PTX3, SMC4, P2RY13, S100A8, RNF150, KIAA0513, C10orf10, MANSC1, LTF, PRAM1, SLC27A2, ACPP, F5, HMGB2, CHAF1A, CHAF1B, HLA-DRA, SULF2, CDK14, CXCR2, KLF5, DEFA4, DEFA1, JAG1, FPR2, SLC24A4, CTSG, TCL1A, C3AR1, NUP37, CA4, OGN, CMTM2, LILRA5, LILRA3, LIN7A, HNRPLL, DKFZp451A211, MARCH1, CHI3L2, CHI3L1, CYP4F2, CYP4F3, B3GNT5, ORC6L, ROPN1L, CRISPLD2, CENPL, CRISP3, BARD1, FAM69B, CCDC150, RBBP8, LY96, ACCN2, GH1, AZU1, DBF4, CD300C, LOC90925, EMR1, VANGL1, ARHGEF10L, OSCAR, MGAM, CCNE1, CEACAM1, CEACAM6, TACSTD2, BMX, PLXDC2, G0S2, JAM3, VNN2, VNN1, IGFBP7, BLVRB, GALNT6, STK32B, C15orf23, MEF2C, DTYMK, GPR97, BTK, CD72, CXorf50B, RFC2, PRKAR2B, TREM1, MCTP1, GAS2L1, NLRP3, ADAP2, RANBP1, FGD4, ACPL2, LOC81691, CLC, GXYLT2, UNG, GAB1, TM6SF1, FAM43A, LOC284757, SLC22A15, BASP1, PTK2, SVIL, LCN2, BPI, MSH2, MEGF9, F13A1, VSTM1, IQGAP3, ARAP3, RAD54B, C13orf34, RGL1, CAMP, RGL4, LOC100130458, ST3GAL6, FCGR2C, MGC5566, PADI2, EBF1, DHCR24, CLEC4D, PFKFB4, ZNF467, TUBG1, MOSC1, MMP8, MMP9, SAC3D1, FKBP14, PTGS2, AMICA1, LOC643332, CLEC14A, TXNDC3, FAM46A, PSD3, INHBA, PRTN3, FCAR, BRCA2, HAL, LRRC4, CREB5, AQP9, TMEM176A, TMEM176B, CTSS, CXCL1, PSRC1, SMPDL3A, ADCY9, RUNX2, BST1, PID1, CD3E, CD3G, CSF2RB, MARCH3, DOCK5, LARGE, TSHR, ICOSLG, QPCT, JUP, NFE2, PAX5, CORO2A, CR1, PROK2, PEX5L, PRTFDC1, LOC100289612, SH2D1A, CD177, CD7, CD2, OLFM4, CCR9, CD9, SLC8A1, GPR84, KIF16B, ABCA13, LGALS3, BCL11B, RAD51C, SLPI, LRP1, CDA, SGK1, STX11, HLA-DOA, AGPAT9, CYFIP1, CDKN2C, FCGR3A, S100P, FCGR3B, FOXO1, NLRC4, ALDH1A1, MLLT4, CHIT1, SLCO4C1, LOC728606, LPCAT2, HK3, ITGAM, ANXA3, ANXA5, NRGN, MCM7, MCM3, IL18RAP, UPP1, SAMHD1, CEBPE, OLR1, IMPA2, KCNK5, CKAP2, BCL6, KCNE3, LAT2, PKMYT1, FBP1, MS4A7, MS4A3, GSN, VSIG10, NDST3, LYZ, NAV1, LYN, MYB, PYGL, RNASE3, RNASE2, ENTPD1, RNASE6, CD22, TSPAN2, RBP7, CACNA2D3, ACSL1, TLR1, TLR7, ATP8B4, SLC19A2, GGTA1, CLEC12A, HP, GPBAR1, IL1R2, FLJ10357, BEX1, LRRK2, SCD, PCBP3, SERPINB10, TLR5, RHOU, SLC26A8, ARG1, TNFAIP6, ELOVL4, FAM105A, FAM150B, NCF4, GAS2L3, GNAI1, LGALS12, SLA2, C11orf75, DUSP6, FAM49A, EMILIN2, CTGF, CSE1L, STEAP4, MYCL1, TFF3, APOB48R, UBASH3A, RAB32, ESCO2, TRAT1, DOK3, IL1R1, NACC2, LRP12, PDGFC, KCNJ15, DACH1, LRG1, ACTN1, SLC40A1, SIGLEC9, SIGLEC5, FOLR3, ZNF608, MYO7B"
"112","inflammasome receptors and signaling","M53","inflammasome receptors and signaling (M53)",12,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M53.htm","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.14,1.22e-21,62,9,"[Chaussabel.v2]M6.13",0.05,2.05e-06,48,3,NA,NA,NA,NA,NA,"protein binding (12), cytoplasm (11), regulation of apoptosis (6)","M53","INNATE RESPONSE","DC ACTIVATION",12,"NLRP3, NFKBIA, BIRC3, BIRC2, TNFAIP3, RXRA, CARD9, RIPK2, TLR4, NOD2, NLRC4, PAK1"
"113","inflammatory response","M33","inflammatory response (M33)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M33.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ELF1_Q6",0.06,8.22e-24,182,11,"protein binding (8), plasma membrane (5), cytoplasm (5)","M33","INNATE RESPONSE","INFLAMMATORY/TLR/CHEMOKINES",11,"TBC1D8, TNFSF13, FCER1G, STAB1, TYROBP, GPX1, CARD9, ARRB2, TLR4, APOB48R, AIF1"
"114","innate activation by cytosolic DNA sensing","M13","innate activation by cytosolic DNA sensing (M13)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M13.htm","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.2,9.16e-30,56,11,"[Chaussabel.v2]M3.4",0.07,9.41e-09,53,4,"IRF1_01",0.02,1.81e-06,195,4,"protein binding (7), cytoplasm (7), inflammatory response (6)","M13","INNATE RESPONSE","INTERFERON/ANTIVIRAL SENSING",11,"DDX58, IRF7, CCL4, CCL5, ZBP1, NFKBIA, AIM2, IL6, PYCARD, CXCL10, IL1B"
"115","innate antiviral response","M150","innate antiviral response (M150)",12,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M150.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M1.2",0.15,1.41e-12,27,5,NA,NA,NA,NA,NA,"protein binding (8), type I interferon-mediated signaling pathway (6), cytokine-mediated signaling pathway (6)","M150","INNATE RESPONSE","INTERFERON/ANTIVIRAL SENSING",12,"TAP1, IRF7, PLSCR1, EIF2AK2, APOBEC3A, OASL, RXRA, OAS1, OAS3, RSAD2, IFIT1, SP100"
"116","inositol phosphate metabolism","M129","inositol phosphate metabolism (M129)",13,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M129.htm","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.08,8.9e-11,54,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (7), nucleotide binding (5), membrane (5)","M129","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",13,"PANK3, AVL9, PIKFYVE, MED23, PLEKHF2, SRP9, IMPA1, PIK3C2A, SYNJ1, CASC4, FNDC3A, PIK3C3, KIAA1109"
"117","integrin cell surface interactions (I)","M1.0","integrin cell surface interactions (I) (M1.0)",29,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M1.0.htm","KEGG_FOCAL_ADHESION",0.14,6.7e-61,201,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (26), axon guidance (20), extracellular region (16)","M1.0","ECM AND MIGRATION","ECM AND MIGRATION",29,"ITGA9, PDGFRA, PTK2, TNC, PDGFRB, EGFR, ITGA5, LAMB1, COL3A1, LAMB2, CAV2, MYL9, ITGA2B, KDR, ITGB3, COL5A2, COL5A1, COL4A2, COL4A1, LAMC1, FN1, CCND2, ITGAV, MET, COL1A2, COL1A1, COL6A1, COL6A3, COL6A2"
"118","integrin cell surface interactions (II)","M1.1","integrin cell surface interactions (II) (M1.1)",12,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M1.1.htm","KEGG_ECM_RECEPTOR_INTERACTION",0.12,2.25e-23,84,10,NA,NA,NA,NA,NA,"CP2_01",0.01,0.000145,198,3,"protein binding (12), extracellular region (12), extracellular matrix structural constituent (9)","M1.1","ECM AND MIGRATION","ECM AND MIGRATION",12,"LAMC1, TNC, FN1, FBN1, COL4A5, COL1A2, COL4A2, COL4A1, COL1A1, LAMB1, VWF, LAMB2"
"119","integrin mediated leukocyte migration","M39","integrin mediated leukocyte migration (M39)",10,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M39.htm","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.08,1.21e-23,118,10,NA,NA,NA,NA,NA,"ELF1_Q6",0.02,6.22e-05,182,3,"protein binding (10), plasma membrane (9), blood coagulation (6)","M39","ECM AND MIGRATION","ECM AND MIGRATION",10,"ITGB2, TXK, ITK, VAV1, PIK3CD, PRKCB, ITGA4, PLCG1, ITGAL, VCAM1"
"120","integrins and cell adhesion","M84","integrins and cell adhesion (M84)",10,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M84.htm","BIOCARTA_LYM_PATHWAY",0.31,2.58e-15,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"regulation of immune response (10), protein binding (10), plasma membrane (10)","M84","ECM AND MIGRATION","ECM AND MIGRATION",10,"SELL, ITGB2, LILRB2, ITGB7, CD96, AMICA1, ITGA4, ICAM3, VCAM1, ITGAL"
"121","interferon alpha response (I)","M158.0","interferon alpha response (I) (M158.0)",16,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M158.0.htm","KEGG_REGULATION_OF_AUTOPHAGY",0.11,3.11e-11,35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular region (12), extracellular space (11), protein binding (7)","M158.0","IFN","INTERFERON/ANTIVIRAL SENSING",16,"LHCGR, COL8A1, IMPG2, ITGB4, MMP12, TNR, IFNA7, IFNA4, SFN, LAMC2, ST14, ADAMTS20, FGF5, IFNA10, IFNA16, IFNA14"
"122","interferon alpha response (II)","M158.1","interferon alpha response (II) (M158.1)",13,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M158.1.htm","KEGG_REGULATION_OF_AUTOPHAGY",0.23,1.39e-23,35,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"extracellular space (11), extracellular region (11), type I interferon-mediated signaling pathway (9)","M158.1","IFN","INTERFERON/ANTIVIRAL SENSING",13,"LHCGR, FAM123A, IFNA8, IFNA2, IFNA7, IFNA5, IFNA4, IFNA21, PRL, ADAMTS20, IFNA10, IFNA16, IFNA14"
"123","leukocyte migration","M88.0","leukocyte migration (M88.0)",51,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M88.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (29), membrane (20), integral to membrane (20)","M88.0","ECM AND MIGRATION","ECM AND MIGRATION",51,"C17orf73, HEPH, CDH17, POF1B, CDX1, CDX2, FAM3D, MYO1A, NOX1, PRSS3, C19orf21, FABP1, C2orf89, GPR35, BCL2L14, TMEM45B, MUC3B, PRR15L, TMPRSS2, CEACAM1, VIL1, GMDS, CEACAM5, CLDN3, CLDN4, KRT20, CLDN7, PLS1, XK, GUCY2C, GPX2, EPB41L4B, ATP10B, RNF43, ST14, EPCAM, TSPAN8, EPS8L3, MUC13, LGALS4, PIP5K1B, FA2H, ACSL5, MAPK13, NR1I2, FOXA3, FUT4, FUT3, MYO7B, GPA33, MEP1A"
"124","metabolism in mitochondria, peroxisome","M187","metabolism in mitochondria, peroxisome (M187)",12,"location","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M187.htm","KEGG_FATTY_ACID_METABOLISM",0.06,1.37e-06,42,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"membrane (5), mitochondrion (4), plasma membrane (3)","M187","ENERGY METABOLISM","ENERGY METABOLISM",12,"SLC10A2, SLC28A1, CYP4A11, PRODH2, SLC2A2, LOC100422737, AGXT2, LOC100130232, GLYAT, CYP4A22, EHHADH, ACMSD"
"125","metabolism of steroids","M225","metabolism of steroids (M225)",10,"molecular function","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M225.htm","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.17,2.96e-13,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"membrane (7), integral to membrane (7), transferase activity, transferring hexosyl groups (4)","M225","ENERGY METABOLISM","ENERGY METABOLISM",10,"GALNT14, ALPK2, UGT2A3, LOC100422737, UGT2B15, MIOX, UGT2B17, PKHD1, HAVCR1, UGT2B28"
"126","mismatch repair (I)","M22.0","mismatch repair (I) (M22.0)",27,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M22.0.htm","KEGG_MISMATCH_REPAIR",0.28,1.08e-27,23,11,NA,NA,NA,NA,NA,"E2F_Q6",0.04,1.1e-09,171,7,"nucleus (25), protein binding (24), mitotic cell cycle (15)","M22.0","CELL CYCLE","CELL CYCLE",27,"SMC1A, POLA1, NCAPG2, RFC5, RFC4, MSH2, TMPO, MSH6, RFC2, GMNN, BUB1, RMI1, RACGAP1, EXO1, POLD3, PRIM1, ZWINT, CHEK1, PCNA, CENPK, FIGNL1, MCM6, RFC3, SSBP1, TOPBP1, RPA3, SMC2"
"127","mismatch repair (II)","M22.1","mismatch repair (II) (M22.1)",13,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M22.1.htm","KEGG_MISMATCH_REPAIR",0.57,2.23e-41,23,13,NA,NA,NA,NA,NA,"E2F1DP2_01",0.03,7e-07,127,4,"protein binding (13), nucleus (13), DNA repair (13)","M22.1","CELL CYCLE","CELL CYCLE",13,"PCNA, RFC3, RFC5, RFC4, MSH2, EXO1, RPA1, MSH6, RFC2, POLD1, POLD3, MLH1, RPA3"
"128","mitosis (TF motif CCAATNNSNNNGCG)","M169","mitosis (TF motif CCAATNNSNNNGCG) (M169)",16,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M169.htm","KEGG_CELL_CYCLE",0.03,1.81e-06,128,4,NA,NA,NA,NA,NA,"CCAATNNSNNNGCG_UNKNOWN",0.07,2.63e-08,45,4,"protein binding (10), nucleus (9), cytoplasm (7)","M169","CELL CYCLE","CELL CYCLE",16,"PCNA, SMC1A, TMPO, ORC4L, NOC3L, CASP8AP2, XPO1, CETN3, NUP37, UPF3B, ORC3L, NIF3L1, PMS1, ACTR6, ARMC1, ACTL6A"
"129","mitotic cell cycle","M4.7","mitotic cell cycle (M4.7)",21,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.7.htm","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.08,7.06e-15,86,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (20), mitotic cell cycle (17), nucleus (15)","M4.7","CELL CYCLE","CELL CYCLE",21,"CCNB2, CCNB1, CCNA2, SHCBP1, PLK1, CDC25C, CDC25A, EXO1, CDT1, CEP152, PKMYT1, E2F8, TUBG1, CDK1, CEP76, FOXM1, SGOL2, CEP72, NEK2, PLK4, CKAP5"
"130","mitotic cell cycle - DNA replication","M4.4","mitotic cell cycle - DNA replication (M4.4)",30,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.4.htm","KEGG_DNA_REPLICATION",0.25,5.3e-30,36,13,NA,NA,NA,NA,NA,"E2F_Q3",0.06,1.4e-16,166,11,"nucleus (24), protein binding (22), nucleoplasm (20)","M4.4","CELL CYCLE","CELL CYCLE",30,"POLA2, POLA1, PLK4, KIF15, CDC6, CDC7, STIL, EXO1, CDT1, ORC6L, PRIM1, PRIM2, PCNA, C1orf112, MCM10, OIP5, MND1, TPX2, MCM7, MCM6, MCM5, MCM4, MCM3, MCM2, MCM8, C12orf48, RPA2, CDK2, POLE2, CDC45"
"131","mitotic cell cycle in stimulated CD4 T cells","M4.5","mitotic cell cycle in stimulated CD4 T cells (M4.5)",35,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.5.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.3",0.15,7.2e-22,49,11,NA,NA,NA,NA,NA,"protein binding (19), nucleus (16), cytoplasm (16)","M4.5","CELL CYCLE","CELL CYCLE",63,"MAD2L1, CEP55, HNRPLL, LAG3, GPR56, KIAA0101, NDC80, TYMS, FBXO5, MELK, GRAP2, CDCA7, CDCA5, RRM2, CXCR6, MIR155HG, CENPM, CENPK, NUF2, IFNG, ZNF367, MCM6, ENO2, KIF11, DEPDC1B, ZEB1, UHRF1, TACC3, CDC20, CDK1, RNF144A, CHAC2, TOP2A, UBE2T, KIF20A, RBBP8, CCDC99, CENPF, CENPE, MASTL, PLK4, ZNF367, KIF14, EZH2, RAD51, NCAPH, GMNN, TRIP13, RRM1, CDC6, DONSON, CCNA2, CCDC99, MELK, RAD54L, GSG2, SUV39H1, CYB5B, CDCA3, AURKB, TK1, STMN1, RAD51C"
"132","mitotic cell cycle in stimulated CD4 T cells","M4.9","mitotic cell cycle in stimulated CD4 T cells (M4.9)",16,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.9.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E2F_Q3",0.03,1.2e-09,166,6,"nucleus (14), protein binding (10), cytoplasm (10)","M4.9","T CELLS","T CELLS",63,"MAD2L1, CEP55, HNRPLL, LAG3, GPR56, KIAA0101, NDC80, TYMS, FBXO5, MELK, GRAP2, CDCA7, CDCA5, RRM2, CXCR6, MIR155HG, CENPM, CENPK, NUF2, IFNG, ZNF367, MCM6, ENO2, KIF11, DEPDC1B, ZEB1, UHRF1, TACC3, CDC20, CDK1, RNF144A, CHAC2, TOP2A, UBE2T, KIF20A, RBBP8, CCDC99, CENPF, CENPE, MASTL, PLK4, ZNF367, KIF14, EZH2, RAD51, NCAPH, GMNN, TRIP13, RRM1, CDC6, DONSON, CCNA2, CCDC99, MELK, RAD54L, GSG2, SUV39H1, CYB5B, CDCA3, AURKB, TK1, STMN1, RAD51C"
"133","mitotic cell cycle in stimulated CD4 T cells","M4.11","mitotic cell cycle in stimulated CD4 T cells (M4.11)",12,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.11.htm",NA,NA,NA,NA,NA,"[Chaussabel.v2]M3.3",0.07,1.02e-08,49,4,"MCAATNNNNNGCG_UNKNOWN",0.05,3.45e-08,66,4,"cytoplasm (8), nucleus (7), protein binding (6)","M4.11","CELL CYCLE","CELL CYCLE",63,"MAD2L1, CEP55, HNRPLL, LAG3, GPR56, KIAA0101, NDC80, TYMS, FBXO5, MELK, GRAP2, CDCA7, CDCA5, RRM2, CXCR6, MIR155HG, CENPM, CENPK, NUF2, IFNG, ZNF367, MCM6, ENO2, KIF11, DEPDC1B, ZEB1, UHRF1, TACC3, CDC20, CDK1, RNF144A, CHAC2, TOP2A, UBE2T, KIF20A, RBBP8, CCDC99, CENPF, CENPE, MASTL, PLK4, ZNF367, KIF14, EZH2, RAD51, NCAPH, GMNN, TRIP13, RRM1, CDC6, DONSON, CCNA2, CCDC99, MELK, RAD54L, GSG2, SUV39H1, CYB5B, CDCA3, AURKB, TK1, STMN1, RAD51C"
"134","mitotic cell division","M6","mitotic cell division (M6)",32,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M6.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mitotic prometaphase (31), mitotic cell cycle (31), cytosol (31)","M6","CELL CYCLE","CELL CYCLE",32,"MAD2L1, BUB1B, PLK1, ZWINT, BIRC5, CENPK, CDC20, NDC80, KIF2C, CCDC99, ERCC6L, SKA1, AURKB, CDCA8, CENPO, CENPN, CENPM, BUB1, CENPI, CENPH, CENPF, CENPE, KIF18A, CENPA, SGOL2, CASC5, ZWILCH, NUF2, APITD1, MLF1IP, SPC25, SPC24"
"135","myeloid, dendritic cell activation via NFkB (I)","M43.0","myeloid, dendritic cell activation via NFkB (I) (M43.0)",15,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M43.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFKAPPAB_01",0.07,1.39e-28,194,14,"protein binding (13), plasma membrane (6), extracellular space (6)","M43.0","INNATE RESPONSE","DC ACTIVATION",15,"MAP3K8, IL23A, CCL5, CD83, NFKBID, FUT7, CTGF, TNF, VCAM1, ICAM1, SAMSN1, RELB, NFKB2, EBI3, BCL3"
"136","myeloid, dendritic cell activation via NFkB (II)","M43.1","myeloid, dendritic cell activation via NFkB (II) (M43.1)",14,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M43.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NFKB_Q6_01",0.08,2.27e-30,176,14,"protein binding (11), nucleus (7), cytoplasm (7)","M43.1","INNATE RESPONSE","DC ACTIVATION",14,"IL1RN, IL23A, CCL5, NFKBIA, BIRC3, PRKCD, FUT7, LTB, TNIP3, ICAM1, RELB, NFKB2, EBI3, BCL3"
"137","phosphatidylinositol signaling system","M101","phosphatidylinositol signaling system (M101)",14,"signaling","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M101.htm","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.08,1.38e-10,54,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (8), nucleus (6), cytoplasm (6)","M101","SIGNAL TRANSDUCTION","SIGNAL TRANSDUCTION",14,"PHTF2, AGL, C6orf211, PIKFYVE, SP3, IMPA1, PIK3C2A, DEK, SYNJ1, PPP1R12A, CLK1, PIK3C3, EFHA1, SLC35A1"
"138","plasma cells & B cells, immunoglobulins","M156.0","plasma cells & B cells, immunoglobulins (M156.0)",43,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M156.0.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (24), plasma membrane (9), integral to membrane (7)","M156.0","B CELLS","PLASMA CELLS",43,"CD52, IGKV4-1, LOC652493, IGHG1, C13orf18, LOC100287723, LOC100289053, IGKC, IGKV1D-13, VPREB3, ITM2C, LOC96610, IGLV4-60, IGLV3-19, P2RX5, CPNE5, ADAM28, STAP1, ABCB4, FCRL1, FCRL2, PCDH9, CD22, IGL@, LOC91316, SPIB, IGKV3-20, IGHD, BLK, LOC100290557, IGLV2-23, IGJ, OSBPL10, CYAT1, E2F5, LOC100293440, TNFRSF17, IGLV1-44, IGLJ3, GNG7, IGLL3, MGC29506, IGLL5"
"139","plasma cells, immunoglobulins","M156.1","plasma cells, immunoglobulins (M156.1)",36,"immune","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M156.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (20), extracellular region (9), immune response (8)","M156.1","B CELLS","PLASMA CELLS",36,"IGKV4-1, LOC652493, IGHA1, IGHG1, TNFRSF17, LOC100287723, LOC100289053, IGK@, IGKC, IGKV1D-13, LOC96610, IGLV3-19, TXNDC5, DERL3, LOC100290557, MUTED, CD27, IGL@, LOC91316, IGH@, IGKV3-20, IGHD, IGHV3-48, PNOC, IGLV2-23, IGHM, CYAT1, LOC100130100, IGKV1-5, LOC100293440, POU2AF1, IGLV1-44, IGLJ3, IGLV4-60, MGC29506, IGLL5"
"140","platelet activation & blood coagulation","M199","platelet activation & blood coagulation (M199)",13,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M199.htm","KEGG_ECM_RECEPTOR_INTERACTION",0.05,8.61e-10,84,5,"[Chaussabel.v2]M1.1",0.06,4.73e-12,86,6,NA,NA,NA,NA,NA,"protein binding (9), blood coagulation (8), platelet activation (7)","M199","PLATELETS","PLATELETS",13,"PROS1, LY6G6D /// LY6G6F, GP1BB /// SEPT5, SH3BGRL2, PCSK6, VWF, GP1BA, PRKAR2B, GP9, GP5, GP6, EGF, TTC7B"
"141","platelet activation (I)","M32.0","platelet activation (I) (M32.0)",23,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M32.0.htm","KEGG_FOCAL_ADHESION",0.03,4.52e-08,201,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (17), cytoplasm (17), nucleus (11)","M32.0","PLATELETS","PLATELETS",23,"TGFB1, PPP2R1A, CCDC22, AKT1, CORO1A, GNAI2, ZYX, H1FX, POR, TLN1, APEH, FAM108A1, NR1H2, ACAP1, GNB2, HGS, NUCB1, UBE2M, PPP1CA, ACTN4, PFN1, FLNA, NRBP1"
"142","platelet activation (II)","M32.1","platelet activation (II) (M32.1)",21,"biological process","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M32.1.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (19), cytoplasm (15), nucleus (12)","M32.1","PLATELETS","PLATELETS",21,"TGFB1, EHMT2, TLN1, ACTN4, PKN1, SIPA1, ACAP1, GNB2, AP2M1, AKT1, MAP7D1, MLF2, ZYX, NBEAL2, DNM2, FLNA, HGS, PFN1, GNAI2, MAP2K2, PNPLA6"
"143","platelet activation (III)","M42","platelet activation (III) (M42)",10,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M42.htm","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.09,6.52e-16,79,7,NA,NA,NA,NA,NA,"ETS_Q4",0.02,6.02e-05,180,3,"platelet activation (10), blood coagulation (10), protein binding (8)","M42","PLATELETS","PLATELETS",10,"FCER1G, GNAQ, SYK, VAV1, PLCG2, PIK3R5, GNA15, COL1A1, LCP2, LYN"
"144","platelet activation - actin binding","M196","platelet activation - actin binding (M196)",17,"molecular function","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M196.htm","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.06,3.14e-11,85,6,"[Chaussabel.v2]M1.1",0.08,8.54e-16,86,8,NA,NA,NA,NA,NA,"protein binding (9), cytoplasm (8), platelet activation (6)","M196","PLATELETS","PLATELETS",17,"ITGB3, ITGB5, WASF3, ITGA2B, MPL, TPM4, PROS1, TGFB2, TPM1, THBS1, ACSBG1, ABLIM3, MFAP3L, ARHGAP6, HSPC159, ASAP2, PDE5A"
"145","platelet activation and degranulation","M85","platelet activation and degranulation (M85)",12,"biological process","complete","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M85.htm","KEGG_ECM_RECEPTOR_INTERACTION",0.07,2.21e-12,84,6,NA,NA,NA,NA,NA,"STAT6_01",0.01,0.000147,199,3,"protein binding (11), extracellular region (11), blood coagulation (11)","M85","PLATELETS","PLATELETS",12,"SERPINA1, F3, TIMP1, FN1, THBS2, THBS1, SPARC, COL1A2, COL1A1, CLU, VWF, SERPINE1"
